0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
18360, 2360, 700, 680, 40, 0 
12840, 1840, 580, 320, 40, 0 
12920, 1500, 360, 380, 60, 0 
13120, 1480, 640, 400, 0, 0 
13660, 1500, 600, 380, 40, 0 
13380, 2120, 520, 440, 0, 0 
13220, 2020, 600, 460, 0, 0 
13460, 1880, 460, 300, 0, 0 
12560, 1660, 660, 260, 40, 0 
13340, 1840, 500, 320, 0, 0 
13160, 1600, 420, 340, 0, 0 
13500, 1880, 360, 320, 0, 0 
12740, 1880, 520, 300, 0, 0 
13640, 1840, 420, 460, 20, 0 
13980, 1420, 400, 300, 0, 0 
13580, 1600, 380, 340, 20, 0 
13280, 2080, 440, 300, 0, 0 
12820, 1900, 620, 420, 20, 0 
12560, 1860, 540, 400, 0, 0 
13140, 1460, 580, 360, 0, 0 
13940, 1780, 480, 560, 0, 0 
13400, 1640, 420, 400, 60, 0 
14000, 1800, 440, 540, 0, 0 
12980, 1900, 580, 520, 40, 20 
12920, 1760, 780, 420, 0, 0 
13600, 1960, 500, 500, 60, 20 
13000, 2000, 540, 380, 20, 0 
13240, 1880, 480, 460, 20, 0 
12680, 1720, 560, 320, 20, 0 
12120, 1740, 480, 220, 20, 0 
12840, 1920, 400, 380, 20, 0 
12900, 1620, 480, 380, 0, 0 
13220, 1760, 420, 380, 20, 0 
13440, 1360, 420, 420, 0, 0 
13320, 1760, 560, 380, 0, 0 
12780, 1660, 580, 480, 0, 0 
13780, 1600, 500, 380, 0, 0 
14060, 1780, 620, 380, 0, 0 
13420, 1800, 540, 340, 20, 0 
14860, 1760, 520, 340, 0, 20 
13660, 1980, 540, 360, 0, 0 
14140, 1700, 480, 380, 0, 0 
13920, 1980, 400, 380, 20, 0 
16640, 1960, 400, 700, 20, 0 
14460, 1760, 480, 420, 40, 0 
20760, 2320, 800, 380, 40, 0 
22460, 2760, 520, 600, 0, 0 
15980, 2140, 520, 420, 0, 0 
15960, 1820, 580, 360, 20, 0 
16920, 2080, 680, 440, 40, 0 
18060, 1880, 540, 500, 0, 40 
14740, 1940, 600, 420, 40, 0 
14120, 1820, 680, 600, 20, 20 
13060, 1980, 480, 460, 60, 0 
14840, 1940, 540, 500, 0, 0 
14660, 1840, 560, 340, 0, 0 
15760, 1800, 640, 600, 40, 0 
14980, 2280, 580, 580, 0, 0 
13580, 1720, 760, 700, 0, 0 
14900, 1540, 580, 520, 80, 20 
13580, 1900, 520, 640, 80, 0 
14760, 1860, 560, 420, 20, 0 
14900, 2160, 560, 740, 40, 0 
15440, 2380, 580, 520, 20, 20 
14260, 2120, 480, 500, 60, 0 
15820, 1980, 620, 600, 100, 0 
13840, 2020, 780, 480, 0, 0 
15580, 1600, 600, 580, 40, 20 
15460, 1960, 560, 340, 0, 0 
15400, 1980, 820, 540, 0, 0 
15340, 1600, 780, 560, 60, 0 
16240, 1940, 400, 480, 0, 20 
17780, 2020, 640, 420, 20, 0 
17120, 2000, 620, 540, , 0 
16740, 1780, 600, 340, 60, 0 
15180, 2060, 700, 400, 60, 0 
14420, 1780, 420, 460, 60, 0 
14420, 1740, 440, 380, 20, 0 
15320, 2200, 860, 520, 40, 20 
14680, 2260, 580, 680, 20, 20 
14400, 2200, 600, 440, 60, 0 
15780, 2040, 600, 620, 20, 20 
14820, 2000, 640, 440, 80, 20 
14060, 1720, 460, 520, 40, 0 
14820, 1660, 460, 420, 60, 0 
14040, 1640, 660, 620, 20, 0 
13680, 1680, 440, 600, 20, 20 
14940, 1820, 500, 480, 20, 0 
14560, 1900, 600, 640, 0, 0 
14440, 2240, 700, 500, 20, 0 
14440, 1740, 540, 580, 0, 0 
13260, 2220, 520, 600, 20, 0 
13660, 1820, 420, 680, 20, 40 
14640, 1680, 600, 660, 100, 0 
12900, 1880, 560, 500, 60, 20 
14620, 1820, 620, 600, 0, 20 
14140, 2260, 700, 760, 20, 0 
14820, 1820, 600, 600, 0, 0 
15100, 1900, 460, 440, 20, 40 
14000, 1940, 520, 500, 0, 0 
14420, 1900, 440, 460, 0, 0 
13940, 1880, 600, 420, 0, 0 
13700, 2060, 680, 540, 20, 0 
13680, 2080, 520, 440, 40, 20 
13280, 1840, 640, 600, 20, 0 
14340, 1520, 680, 520, 60, 0 
13300, 1820, 640, 540, 40, 0 
14040, 2260, 580, 360, 40, 0 
13400, 2020, 720, 540, 40, 0 
13240, 1900, 480, 380, 40, 0 
14540, 1940, 800, 480, 100, 0 
14560, 1660, 360, 700, 0, 0 
14580, 2360, 440, 520, 20, 20 
13500, 1800, 580, 440, 20, 20 
15140, 1840, 780, 420, 40, 0 
15040, 1600, 540, 320, 0, 20 
14420, 1900, 520, 440, 60, 20 
14140, 2160, 440, 420, 60, 0 
14360, 1920, 740, 520, 40, 40 
14380, 1760, 420, 760, 20, 40 
13480, 1840, 780, 520, 80, 20 
13960, 2060, 600, 540, 20, 20 
14140, 2000, 640, 440, 40, 0 
14080, 1880, 460, 380, 20, 20 
14240, 2040, 580, 400, 60, 0 
14720, 2020, 760, 500, 60, 0 
13480, 1840, 660, 720, 20, 0 
14340, 2220, 660, 640, 80, 0 
13600, 1820, 500, 540, 40, 0 
14720, 2280, 620, 400, 20, 0 
15080, 2060, 800, 460, 0, 0 
14600, 1940, 700, 580, 20, 20 
13140, 1700, 480, 560, 60, 0 
13700, 1740, 640, 460, 60, 0 
14040, 2180, 440, 420, 20, 0 
14140, 2080, 620, 340, 20, 0 
14060, 1880, 420, 480, 60, 40 
13780, 1820, 500, 600, 60, 20 
14560, 2400, 560, 540, 0, 0 
15060, 1920, 700, 500, 0, 40 
14860, 2240, 560, 560, 20, 0 
15360, 2240, 740, 540, 20, 40 
15360, 2060, 440, 540, 60, 20 
14980, 2140, 520, 640, 20,  
17920, 2680, 660, 480, 40, 0 
18280, 2000, 620, 660, 0, 0 
22040, 2200, 580, 480, 20, 0 
20840, 2220, 400, 500, 20, 0 
22940, 2540, 620, 640, 20,  
, , 940, 440, 80, 0 
, , 840, 600, 60, 0 
22620, 2620, 540, 520, 0, 20 
19840, 1820, 660, 520, 100, 20 
19880, 2780, 800, 520, 60, 20 
